SPECIESID,iucn_category,iucn_criteria,iucn_population_trend,iucn_published_year
Fis-147698,NA,NA,NA,NA
Fis-148498,NA,NA,NA,NA
Fis-149460,NA,NA,NA,NA
Fis-149465,LC,NA,Unknown,2015
Fis-149568,NA,NA,NA,NA
Fis-150162,NA,NA,NA,NA
Fis-150922,NA,NA,NA,NA
Fis-161020,LC,NA,Unknown,2015
Fis-161040,LC,NA,Unknown,2015
Fis-161117,NA,NA,NA,NA
Fis-164216,NA,NA,NA,NA
Fis-52165,LC,NA,Unknown,2015
Fis-166038,DD,NA,Unknown,2015
Fis-167583,NA,NA,NA,NA
Fis-170174,DD,NA,Unknown,2015
Fis-27225,LC,NA,Unknown,2015
Fis-33134,LC,NA,Unknown,2015
Fis-33183,NA,NA,NA,NA
Fis-33748,NA,NA,NA,NA
Fis-34791,NA,NA,NA,NA
Fis-35980,NA,NA,NA,NA
Fis-47779,DD,NA,Unknown,2010
Fis-48943,NA,NA,NA,NA
Fis-144477,LC,NA,Unknown,2015
Fis-49888,DD,NA,Unknown,2015
Fis-50591,LC,NA,Unknown,2015
Fis-50594,DD,NA,Unknown,2015
Fis-50608,NA,NA,NA,NA
Fis-50627,NA,NA,NA,NA
Fis-50636,LC,NA,Unknown,2015
Fis-52342,NA,NA,NA,NA
Fis-52720,NA,NA,NA,NA
Fis-52866,NA,NA,NA,NA
Fis-53631,NA,NA,NA,NA
Fis-55670,LC,NA,Unknown,2015
Fis-56113,NA,NA,NA,NA
Fis-61382,NA,NA,NA,NA
Fis-62383,NA,NA,NA,NA
Fis-62876,NA,NA,NA,NA
Fis-112710,LC,NA,Unknown,2015
Fis-125140,NA,NA,NA,NA
Fis-125146,NA,NA,NA,NA
Fis-126118,DD,NA,Unknown,2015
Fis-127434,NA,NA,NA,NA
Fis-127586,NA,NA,NA,NA
Fis-128093,NA,NA,NA,NA
Fis-128094,NA,NA,NA,NA
Fis-130671,NA,NA,NA,NA
Fis-138067,NA,NA,NA,NA
Fis-138172,NA,NA,NA,NA
Fis-138175,NA,NA,NA,NA
Fis-138666,NA,NA,NA,NA
Fis-139317,NA,NA,NA,NA
Fis-139490,NA,NA,NA,NA
Fis-139596,NA,NA,NA,NA
Fis-143865,NA,NA,NA,NA
Fis-144112,NA,NA,NA,NA
Fis-144489,NA,NA,NA,NA
Fis-144507,NA,NA,NA,NA
Fis-144509,NA,NA,NA,NA
Fis-144510,NA,NA,NA,NA
Fis-144516,NA,NA,NA,NA
Fis-144517,NA,NA,NA,NA
Fis-144522,NA,NA,NA,NA
Fis-144523,NA,NA,NA,NA
Fis-144525,NA,NA,NA,NA
Fis-144526,NA,NA,NA,NA
Fis-144668,NA,NA,NA,NA
Fis-145126,NA,NA,NA,NA
Fis-145388,NA,NA,NA,NA
Fis-146079,NA,NA,NA,NA
Fis-148357,NA,NA,NA,NA
Fis-149461,LC,NA,Unknown,2010
Fis-149898,NA,NA,NA,NA
Fis-152016,NA,NA,NA,NA
Fis-152044,LC,NA,Unknown,2010
Fis-153714,LC,NA,Unknown,2015
Fis-159319,NA,NA,NA,NA
Fis-160467,NA,NA,NA,NA
Fis-162335,NA,NA,NA,NA
Fis-163770,NA,NA,NA,NA
Fis-26653,NA,NA,NA,NA
Fis-28123,VU,A2bcd,Decreasing,2012
Fis-22770,LC,NA,Unknown,2008
Fis-52020,DD,NA,Unknown,2010
Fis-1646,NA,NA,NA,NA
Fis-22868,LC,NA,Unknown,2011
Fis-25886,LC,NA,Unknown,2015
Fis-52319,NA,NA,NA,NA
Fis-32587,LC,NA,Unknown,2014
Fis-26147,LC,NA,Unknown,2016
Fis-25680,LC,NA,Unknown,2017
Fis-150758,NA,NA,NA,NA
Fis-54327,LC,NA,Unknown,2016
Fis-56329,NA,NA,NA,NA
Fis-29372,LC,NA,Unknown,2010
Fis-22701,LC,NA,Unknown,2015
Fis-53544,NA,NA,NA,NA
Fis-8344,LC,NA,Unknown,2016
Fis-22703,LC,NA,Stable,2018
Fis-22704,LC,NA,Stable,2018
Fis-22720,VU,A2bcd,Decreasing,2018
Fis-22721,VU,A2bd,Decreasing,2018
Fis-22722,CR,A4bd,Decreasing,2018
Fis-29302,NT,NA,Decreasing,2015
Fis-29289,NA,NA,NA,NA
Fis-22718,LC,NA,Stable,2015
Fis-29314,LC,NA,Stable,2014
Fis-29313,LC,NA,Unknown,2015
Fis-29344,LC,NA,Increasing,2010
Fis-3399,NA,NA,NA,NA
Fis-22723,NA,NA,NA,NA
Fis-22724,NA,NA,NA,NA
Fis-22725,NA,NA,NA,NA
